Country,Country Code,Year,GDP (USD),Inflation (%),Unemployment (%)
Australia,AUS,1974,88965364775.2395,15.4166666666666,
Australia,AUS,1975,97304383449.406,15.1624548736462,
Australia,AUS,1976,105060616984.856,13.3228840125392,
Australia,AUS,1977,110352144987.382,12.3098201936376,
Australia,AUS,1978,118492761338.464,8.0049261083744,
Australia,AUS,1979,134900602067.477,9.12200684150515,
Australia,AUS,1980,149987743732.591,10.1358411703239,
Australia,AUS,1981,176895390688.494,9.48766603415561,
Australia,AUS,1982,194041708043.694,11.3518197573657,
Australia,AUS,1983,177267290706.228,10.0389105058366,
Australia,AUS,1984,193525337525.765,3.96039603960396,
Australia,AUS,1985,180643265927.279,6.734693877551,
Australia,AUS,1986,182481113598.209,9.05035054174634,
Australia,AUS,1987,189495764955.003,8.53302162478083,
Australia,AUS,1988,236161314544.153,7.21593968766828,
Australia,AUS,1989,299875906679.217,7.53390256152688,
Australia,AUS,1990,311426665219.971,7.33302195235872,
Australia,AUS,1991,325975319455.531,3.17667536988685,9.586
Australia,AUS,1992,325525379566.838,1.01223112610714,10.733
Australia,AUS,1993,312133923552.558,1.75365344467641,10.879
Australia,AUS,1994,322806641300.588,1.96963479688141,9.724
Australia,AUS,1995,368166023166.023,4.62776659959759,8.473
Australia,AUS,1996,401341880620.728,2.61538461538461,8.509
Australia,AUS,1997,435642611296.586,0.224887556221887,8.367
Australia,AUS,1998,399674421759.479,0.860134629768142,7.684
Australia,AUS,1999,389652212056.649,1.48312940304041,6.876
Australia,AUS,2000,416167815092.908,4.45743514797224,6.288
Australia,AUS,2001,379629301675.108,4.40713536201469,6.747
Australia,AUS,2002,395788696012.059,2.98157453936348,6.375
Australia,AUS,2003,467739079790.332,2.73259596616786,5.933
Australia,AUS,2004,614659980082.515,2.34325522482583,5.399
Australia,AUS,2005,695692898676.56,2.69183168316832,5.036
Australia,AUS,2006,748417562769.636,3.55528773727026,4.785
Australia,AUS,2007,855007458585.224,2.32761128891476,4.381
Australia,AUS,2008,1056112427190.38,4.35029854990048,4.242
Australia,AUS,2009,928762122698.05,1.77111716621254,5.565
Australia,AUS,2010,1148838233480.72,2.91834002677376,5.214
Australia,AUS,2011,1398610616772.97,3.3038501560874,5.083
Australia,AUS,2012,1547532281116.4,1.76278015613196,5.225
Australia,AUS,2013,1577123329410.88,2.4498886414254,5.663
Australia,AUS,2014,1468265356427.76,2.48792270531404,6.078
Australia,AUS,2015,1351296372254.31,1.50836672165921,6.055
Australia,AUS,2016,1206836962281.84,1.27699094497324,5.711
Australia,AUS,2017,1325582658156.54,1.94864740944527,5.592
Australia,AUS,2018,1427809041019.44,1.91140094445691,5.3
Australia,AUS,2019,1392723834562.64,1.61076787290379,5.159
Australia,AUS,2020,1328414058378.38,0.846905537459305,6.456
Australia,AUS,2021,1556735770437.26,2.86391042204994,5.116
Australia,AUS,2022,1690858246994.43,6.59409671341846,3.728
Australia,AUS,2023,1728057316695.61,5.5970149253731,3.668
Brazil,BRA,1974,109794519727.538,,
Brazil,BRA,1975,129203555238.827,,
Brazil,BRA,1976,153168949208.207,,
Brazil,BRA,1977,176344101401.941,,
Brazil,BRA,1978,200278646123.581,,
Brazil,BRA,1979,221338204480.222,,
Brazil,BRA,1980,237393489892.637,,
Brazil,BRA,1981,258015174748.648,101.725072957927,
Brazil,BRA,1982,271314113768.417,100.54335919485,
Brazil,BRA,1983,189656506321.431,135.027682230473,
Brazil,BRA,1984,188339974086.58,192.121733132051,
Brazil,BRA,1985,210879844638.877,225.989665211895,
Brazil,BRA,1986,256480852471.129,147.142826237604,
Brazil,BRA,1987,283056836893.838,228.336162575513,
Brazil,BRA,1988,307881930752.268,629.114509120897,
Brazil,BRA,1989,412990820287.42,1430.7237251472,
Brazil,BRA,1990,464989098144.854,2947.732772483,
Brazil,BRA,1991,342534090909.091,432.786661926461,6.894
Brazil,BRA,1992,328191909882.232,951.962053052818,7.086
Brazil,BRA,1993,368292034380.96,1927.38079016026,6.03
Brazil,BRA,1994,525369467295.737,2075.88839757325,6.578
Brazil,BRA,1995,769333050986.905,66.0070335542481,7.092
Brazil,BRA,1996,850426432991.742,15.7576656002606,8.035
Brazil,BRA,1997,883206179730.462,6.92671251629154,9.003
Brazil,BRA,1998,863710759256.435,3.19507629280052,10.15
Brazil,BRA,1999,599642024319.531,4.85844749902667,11.125
Brazil,BRA,2000,655448231983.527,7.04414105947266,10.889
Brazil,BRA,2001,559983634798.981,6.84035902487523,10.649
Brazil,BRA,2002,509795273806.715,8.45016437708331,10.641
Brazil,BRA,2003,558233745651.874,14.7149197228147,11.168
Brazil,BRA,2004,669289424806.307,6.59718509985963,10.072
Brazil,BRA,2005,891633839853.105,6.86953720898964,10.551
Brazil,BRA,2006,1107626541710.74,4.18356812896909,9.692
Brazil,BRA,2007,1397114486471.38,3.64127299102652,9.28
Brazil,BRA,2008,1695855083552.05,5.67859390284168,8.268
Brazil,BRA,2009,1666996438681.46,4.88803479876799,9.419
Brazil,BRA,2010,2208837745214.23,5.03872690108075,8.422
Brazil,BRA,2011,2616156223977.47,6.6364496221309,7.578
Brazil,BRA,2012,2465227803011.57,5.40349914036997,7.251
Brazil,BRA,2013,2472819535742.73,6.20431066640101,7.071
Brazil,BRA,2014,2456043727198.85,6.32904015516139,6.755
Brazil,BRA,2015,1802212206904.68,9.02990102416136,8.538
Brazil,BRA,2016,1795693482652.52,8.73914352329393,11.58
Brazil,BRA,2017,2063514977334.32,3.44637335032669,12.792
Brazil,BRA,2018,1916933898038.36,3.66485028376729,12.329
Brazil,BRA,2019,1873288205186.45,3.73297621216894,11.936
Brazil,BRA,2020,1476107231194.11,3.21176803803376,13.697
Brazil,BRA,2021,1670647399034.67,8.30165975585673,13.158
Brazil,BRA,2022,1951923942083.32,9.28010608956873,9.231
Brazil,BRA,2023,2173665655937.27,4.59356282283204,7.947
Canada,CAN,1974,160949188139.059,10.997171145686,
Canada,CAN,1975,174419757176.563,10.672188595094,
Canada,CAN,1976,207271612576.065,7.54173862982148,
Canada,CAN,1977,212325176304.654,7.9764453961457,
Canada,CAN,1978,219369542386.254,8.97372335151214,
Canada,CAN,1979,243891124295.715,9.14467697907181,
Canada,CAN,1980,274776566028.053,10.1292205085453,
Canada,CAN,1981,307246642755.859,12.4716124148372,
Canada,CAN,1982,314647807408.608,10.7689718997139,
Canada,CAN,1983,341866277182.733,5.86358802977368,
Canada,CAN,1984,356718400123.543,4.30477830391737,
Canada,CAN,1985,366186012449.652,3.96203054065205,
Canada,CAN,1986,379006836991.724,4.19478629085621,
Canada,CAN,1987,433134238310.709,4.3561087122174,
Canada,CAN,1988,509380027626.554,4.02823414871611,
Canada,CAN,1989,567211993243.243,4.98362189985958,
Canada,CAN,1990,596075591360.987,4.78047693336304,
Canada,CAN,1991,612527712315.615,5.62586408593005,10.316
Canada,CAN,1992,594387358318.855,1.49013290374545,11.197
Canada,CAN,1993,579053561739.4,1.86507936507939,11.377
Canada,CAN,1994,579944346807.264,0.165562913907291,10.395
Canada,CAN,1995,605961090061.207,2.14876033057849,9.489
Canada,CAN,1996,630607994132.747,1.57053112507138,9.62
Canada,CAN,1997,654986999855.554,1.62121638084531,9.1
Canada,CAN,1998,634000000000.0,0.99594245665802,8.278
Canada,CAN,1999,678412196271.118,1.73484295105918,7.583
Canada,CAN,2000,744773415931.587,2.71943995691976,6.829
Canada,CAN,2001,738981792355.372,2.52512013979906,7.219
Canada,CAN,2002,760649334098.005,2.25839440940855,7.665
